PRODUCE,COST PER POUND,POUNDS SOLD,TOTAL
Asparagus,2.49,39.6,98.6
Daikon,1.4,16.6,23.24
Apples,1.88,7.4,13.91
Lime,1.06,18.5,19.61
Lemon,1.27,13.8,17.53
Strawberries,4.4,30.2,132.88
Apricots,3.71,38.8,143.95
Garlic,3.07,34.8,106.84
Grapes,2.63,18.3,48.13
Lime,1.06,32.4,34.34
Kale,5.02,35,175.7
Green cabbage,0.8,16.9,13.52
Beets,1.51,38.6,58.29
Garlic,3.07,6,18.42
Kale,5.02,11.1,55.72
Red onion,0.78,14.8,11.54
Green beans,2.52,12.4,31.25
Orange,1.09,25.7,28.01
Apples,1.88,36.5,68.62
Papaya,1.34,35.2,47.17
Papaya,1.34,18.7,25.06
Lime,1.06,8.4,8.9
Green cabbage,0.8,14.6,11.68
Green peppers,1.89,36.2,68.42
Green beans,2.52,4.5,11.34
Ginger,5.13,30.1,154.41
Yellow peppers,2.87,36.8,105.62
Bok choy,1.42,0.6,0.85
Bok choy,1.42,11.5,16.33
Daikon,1.4,29.4,41.16
Cucumber,1.07,6.5,6.96
Green cabbage,0.8,5.2,4.16
Grapes,2.63,2.1,5.52
Grapefruit,0.76,1.5,1.14
Coconuts,1.18,34.7,40.95
Beets,1.51,31.1,46.96
Corn,1.07,26.7,28.57
Avocados,3.23,37.6,121.45
Strawberries,4.4,35.2,154.88
Yellow peppers,2.87,6.6,18.94
Fava beans,2.69,27.2,73.17
Yellow peppers,2.87,7.4,21.24
Coconuts,1.18,3.8,4.48
Lime,1.06,30.3,32.12
Celery,1.19,35,41.65
Fava beans,2.69,19.1,51.38
Eggplant,2.32,11.3,26.22
Strawberries,4.4,6.5,28.6
Grapefruit,0.76,18.6,14.14
Kale,5.02,10.5,52.71
Green cabbage,0.8,5.7,4.56
Green peppers,1.89,5.5,10.4
Avocados,3.23,0.9,2.91
Orange,1.09,21.4,23.33
Strawberries,4.4,22.7,99.88
Garlic,3.07,9.5,29.17
Kale,5.02,24.9,125
Lemon,1.27,19.3,24.51
Brussels sprouts,1.65,31.2,51.48
Avocados,3.23,10.2,32.95
Brussels sprouts,1.65,21.5,35.48
Red onion,0.78,7.5,5.85
Yellow peppers,2.87,21.4,61.42
Tomatoes,3.16,25.4,80.26
Lime,1.06,36.7,38.9
Watermelon,0.66,31.1,20.53
Beets,1.51,37.4,56.47
Grapefruit,0.76,39.6,30.1
Green cabbage,0.8,40,32
Beets,1.51,20.5,30.96
Lemon,1.27,6,7.62
Grapes,2.63,15.4,40.5
Eggplant,2.32,35.2,81.66
Bananas,0.86,24.4,20.98
Avocados,3.23,37.2,120.16
Grapes,2.63,34.6,91
Ginger,5.13,23.3,119.53
Butternut squash,1.28,2.4,3.07
Green peppers,1.89,5.6,10.58
Lettuce,1.88,25.9,48.69
Garlic,3.07,2.4,7.37
Papaya,1.34,22.6,30.28
Ginger,5.13,9.3,47.71
Strawberries,4.4,24.7,108.68
Eggplant,2.32,22.8,52.9
Butternut squash,1.28,39.1,50.05
Green beans,2.52,12.5,31.5
Apples,1.88,22.6,42.49
Daikon,1.4,18.2,25.48
Fava beans,2.69,15.1,40.62
Orange,1.09,36.4,39.68
Tomatoes,3.16,23.1,73
Ginger,5.13,9.6,49.25
Grapes,2.63,26,68.38
Lemon,1.27,5,6.35
Bananas,0.86,12.6,10.84
Grapes,2.63,31.8,83.63
Garlic,3.07,35,107.45
Spinach,4.12,16.7,68.8
Okra,2.26,12.1,27.35
Grapes,2.63,34,89.42
Daikon,1.4,26.4,36.96
Coconuts,1.18,23.2,27.38
Corn,1.07,6.2,6.63
Coconuts,1.18,1.8,2.12
Cherries,9.5,12.4,117.8
Green cabbage,0.8,0.8,0.64
Bananas,0.86,10.2,8.77
Corn,1.07,21.4,22.9
Celery,1.19,5.3,6.31
Bananas,0.86,40,34.4
Beets,1.51,27.9,42.13
Grapes,2.63,21.3,56.02
Green cabbage,0.8,30.6,24.48
Apples,1.88,38.7,72.76
Avocados,3.23,4.9,15.83
Beets,1.51,20.7,31.26
Orange,1.09,10.3,11.23
Bananas,0.86,11.5,9.89
Papaya,1.34,11.6,15.54
Apples,1.88,15.5,29.14
Green beans,2.52,34.9,87.95
Grapes,2.63,28.3,74.43
Asparagus,2.49,3.5,8.72
Lemon,1.27,28.7,36.45
Beets,1.51,2.8,4.23
Bok choy,1.42,32.6,46.29
Corn,1.07,14.8,15.84
Corn,1.07,3.9,4.17
Asparagus,2.49,32.3,80.43
Potatoes,0.86,26.3,22.62
Tomatoes,3.16,22,69.52
Papaya,1.34,23.2,31.09
Tomatoes,3.16,0.6,1.9
Grapefruit,0.76,14.7,11.17
Tomatoes,3.16,38.7,122.29
Celery,1.19,5.8,6.9
Orange,1.09,34.5,37.61
Coconuts,1.18,28.8,33.98
Bananas,0.86,23.1,19.87
Kale,5.02,20.7,103.91
Bananas,0.86,21.9,18.83
Apples,1.88,27.6,51.89
Grapes,2.63,10.2,26.83
Brussels sprouts,1.65,35.6,58.74
Tomatoes,3.16,16.5,52.14
Bok choy,1.42,6.2,8.8
Grapefruit,0.76,12.5,9.5
Butternut squash,1.28,38.6,49.41
Fava beans,2.69,13.1,35.24
Green beans,2.52,24.1,60.73
Coconuts,1.18,13.9,16.4
Red onion,0.78,17.6,13.73
Grapes,2.63,18.6,48.92
Lime,1.06,8.8,9.33
Green peppers,1.89,36.4,68.8
Parsnips,2.27,13.9,31.55
Grapefruit,0.76,35.3,26.83
Lemon,1.27,37.5,47.63
Papaya,1.34,15.9,21.31
Celery,1.19,24.4,29.04
Papaya,1.34,9.8,13.13
Butternut squash,1.28,34.7,44.42
Fava beans,2.69,21.3,57.3
Eggplant,2.32,8.4,19.49
Green peppers,1.89,14.9,28.16
Kale,5.02,10.3,51.71
Papaya,1.34,32.3,43.28
Yellow peppers,2.87,9.5,27.27
Garlic,3.07,26.1,80.13
Lettuce,1.88,37.3,70.12
Butternut squash,1.28,27.2,34.82
Potatoes,0.86,27.6,23.74
Tomatoes,3.16,14.6,46.14
Celery,1.19,15.4,18.33
Lettuce,1.88,25.1,47.19
Grapefruit,0.76,27.2,20.67
Apples,1.88,39.6,74.45
Bananas,0.86,38.1,32.77
Lemon,1.27,24.6,31.24
Green peppers,1.89,28.4,53.68
Watermelon,0.66,29.8,19.67
Kale,5.02,34.4,172.69
Strawberries,4.4,25.1,110.44
Okra,2.26,20.8,47.01
Green cabbage,0.8,27.3,21.84
Fava beans,2.69,8.1,21.79
Apples,1.88,9.3,17.48
Apples,1.88,28.1,52.83
Lettuce,1.88,2.9,5.45
Carrots,1.26,36.8,46.37
Papaya,1.34,12.3,16.48
Green beans,2.52,22.9,57.71
Brussels sprouts,1.65,19,31.35
Papaya,1.34,39.8,53.33
Tomatoes,3.16,25.2,79.63
Green peppers,1.89,30.5,57.65
Bananas,0.86,18.8,16.17
Okra,2.26,13.8,31.19
Ginger,5.13,33.7,172.88
Cucumber,1.07,17.6,18.83
Eggplant,2.32,36.8,85.38
Garlic,3.07,36.4,111.75
Tomatoes,3.16,24.2,76.47
Lime,1.06,17.9,18.97
Grapes,2.63,39.6,104.15
Green cabbage,0.8,19.6,15.68
Potatoes,0.86,15,12.9
Bok choy,1.42,8.2,11.64
Lime,1.06,14.5,15.37
Yellow peppers,2.87,19,54.53
Tomatoes,3.16,32.3,102.07
Celery,1.19,29.2,34.75
Grapefruit,0.76,8.4,6.38
Bok choy,1.42,6,8.52
Ginger,5.13,7,35.91
Fava beans,2.69,6.3,16.95
Apricots,3.71,32.1,119.09
Bok choy,1.42,38.3,54.39
Apples,1.88,9.2,17.3
Daikon,1.4,8.2,11.48
Daikon,1.4,24.4,34.16
Apricots,3.71,37,137.27
Carrots,1.26,9.8,12.35
Apples,1.88,31,58.28
Potatoes,0.86,1.6,1.38
Avocados,3.23,3,9.69
Ginger,5.13,30,153.9
Beets,1.51,7.7,11.63
Strawberries,4.4,28.1,123.64
Green peppers,1.89,9.5,17.96
Ginger,5.13,18.8,96.44
Celery,1.19,3,3.57
Bananas,0.86,17.8,15.31
Kale,5.02,5.6,28.11
Lime,1.06,32.3,34.24
Bananas,0.86,7.4,6.36
Papaya,1.34,13.9,18.63
Eggplant,2.32,9,20.88
Watermelon,0.66,0.6,0.4
Brussels sprouts,1.65,23.3,38.45
Carrots,1.26,9.7,12.22
Potatoes,0.86,9.2,7.91
Grapefruit,0.76,29.8,22.65
Ginger,5.13,14.4,73.87
Bok choy,1.42,6.8,9.66
Cherries,9.5,1.8,17.1
Green peppers,1.89,13.4,25.33
Garlic,3.07,9.2,28.24
Celery,1.19,0.5,0.6
Green cabbage,0.8,30.7,24.56
Celery,1.19,26.4,31.42
Papaya,1.34,18.8,25.19
Bok choy,1.42,35.9,50.98
Eggplant,2.32,10.3,23.9
Strawberries,4.4,18.9,83.16
Green cabbage,0.8,15.3,12.24
Papaya,1.34,35.4,47.44
Daikon,1.4,29.9,41.86
Beets,1.51,17,25.67
Green peppers,1.89,10.6,20.03
Green peppers,1.89,15.5,29.3
Butternut squash,1.28,10.2,13.06
Cucumber,1.07,6.2,6.63
Parsnips,2.27,20.5,46.54
Orange,1.09,2.4,2.62
Lemon,1.27,17.3,21.97
Garlic,3.07,13.1,40.22
Cucumber,1.07,37.2,39.8
Kale,5.02,26.6,133.53
Orange,1.09,37.9,41.31
Orange,1.09,24.8,27.03
Beets,1.51,32.2,48.62
Green peppers,1.89,16.3,30.81
Beets,1.51,14.8,22.35
Apricots,3.71,0.5,1.86
Butternut squash,1.28,9.2,11.78
Green beans,2.52,20.4,51.41
Ginger,5.13,34.3,175.96
Watermelon,0.66,24,15.84
Cucumber,1.07,39.4,42.16
Lemon,1.27,12.6,16
Beets,1.51,0.6,0.91
Parsnips,2.27,24.7,56.07
Garlic,3.07,12.2,37.45
Bok choy,1.42,28.8,40.9
Corn,1.07,28.5,30.5
Tomatoes,3.16,1.3,4.11
Lettuce,1.88,10.5,19.74
Spinach,4.12,24.2,99.7
Garlic,3.07,8.2,25.17
Papaya,1.34,14.8,19.83
Daikon,1.4,18.1,25.34
Tomatoes,3.16,11.4,36.02
Corn,1.07,35.1,37.56
Green peppers,1.89,12.9,24.38
Apricots,3.71,25,92.75
Red onion,0.78,33.2,25.9
Okra,2.26,29,65.54
Cucumber,1.07,35.6,38.09
Ginger,5.13,23.9,122.61
Cherries,9.5,21.3,202.35
Lettuce,1.88,33.9,63.73
Grapes,2.63,18.5,48.66
Okra,2.26,19,42.94
Green peppers,1.89,20.2,38.18
Apricots,3.71,3.6,13.36
Lime,1.06,4.2,4.45
Green beans,2.52,9.5,23.94
Yellow peppers,2.87,32.7,93.85
Kale,5.02,27.5,138.05
Green cabbage,0.8,29.8,23.84
Corn,1.07,15.2,16.26
Okra,2.26,21.7,49.04
Red onion,0.78,13.4,10.45
Apples,1.88,5.5,10.34
Strawberries,4.4,34.5,151.8
Red onion,0.78,9.7,7.57
Strawberries,4.4,6.2,27.28
Orange,1.09,15.5,16.9
Strawberries,4.4,14.9,65.56
Coconuts,1.18,21.2,25.02
Cucumber,1.07,18.7,20.01
Apricots,3.71,28.4,105.36
Grapes,2.63,25.4,66.8
Brussels sprouts,1.65,15.9,26.24
Cucumber,1.07,11,11.77
Green peppers,1.89,4.6,8.69
Celery,1.19,21.8,25.94
Grapes,2.63,9.8,25.77
Brussels sprouts,1.65,21.8,35.97
Bananas,0.86,31.2,26.83
Potatoes,0.86,2,1.72
Potatoes,0.86,5.6,4.82
Daikon,1.4,23.6,33.04
Beets,1.51,26.9,40.62
Lime,1.06,11.8,12.51
Green cabbage,0.8,0.5,0.4
Cherries,9.5,11.9,113.05
Strawberries,4.4,38,167.2
Kale,5.02,35.4,177.71
Lettuce,1.88,7.2,13.54
Lettuce,1.88,36.8,69.18
Orange,1.09,15.8,17.22
Garlic,3.07,22.2,68.15
Tomatoes,3.16,39.6,125.14
Ginger,5.13,28.6,146.72
Fava beans,2.69,16.7,44.92
Bok choy,1.42,1.5,2.13
Cherries,9.5,30.2,286.9
Butternut squash,1.28,35,44.8
Lettuce,1.88,1.1,2.07
Carrots,1.26,32.3,40.7
Brussels sprouts,1.65,24.9,41.09
Butternut squash,1.28,18.5,23.68
Coconuts,1.18,4.5,5.31
Carrots,1.26,21.1,26.59
Orange,1.09,28.5,31.07
Papaya,1.34,10.5,14.07
Grapefruit,0.76,16.2,12.31
Coconuts,1.18,27.6,32.57
Avocados,3.23,24.4,78.81
Grapefruit,0.76,38.5,29.26
Brussels sprouts,1.65,37.1,61.22
Eggplant,2.32,11.6,26.91
Green peppers,1.89,10,18.9
Potatoes,0.86,28,24.08
Parsnips,2.27,39.7,90.12
Green beans,2.52,23.4,58.97
Potatoes,0.86,29.6,25.46
Papaya,1.34,16.3,21.84
Asparagus,2.49,36.7,91.38
Ginger,5.13,8.2,42.07
Parsnips,2.27,12.7,28.83
Beets,1.51,26.7,40.32
Celery,1.19,23.4,27.85
Apricots,3.71,11.8,43.78
Beets,1.51,8.1,12.23
Tomatoes,3.16,35.5,112.18
Apricots,3.71,25.8,95.72
Celery,1.19,18.6,22.13
Corn,1.07,33.8,36.17
Corn,1.07,19.7,21.08
Grapes,2.63,37.5,98.63
Papaya,1.34,35.1,47.03
Carrots,1.26,7.7,9.7
Green beans,2.52,26.7,67.28
Daikon,1.4,14.3,20.02
Parsnips,2.27,17.2,39.04
Cherries,9.5,1.6,15.2
Avocados,3.23,12.5,40.38
Kale,5.02,18.2,91.36
Apples,1.88,32.6,61.29
Coconuts,1.18,30.2,35.64
Strawberries,4.4,10,44
Green cabbage,0.8,35.9,28.72
Cucumber,1.07,13.3,14.23
Cherries,9.5,38.9,369.55
Orange,1.09,26.4,28.78
Coconuts,1.18,13,15.34
Bok choy,1.42,31.9,45.3
Grapes,2.63,27.6,72.59
Cherries,9.5,12.8,121.6
Yellow peppers,2.87,29.5,84.67
Apples,1.88,7.9,14.85
Parsnips,2.27,0.5,1.14
Lime,1.06,22.6,23.96
Corn,1.07,0.9,0.96
Daikon,1.4,4.2,5.88
Parsnips,2.27,8.1,18.39
Apples,1.88,35.4,66.55
Cucumber,1.07,38.3,40.98
Green peppers,1.89,14.6,27.59
Tomatoes,3.16,30.4,96.06
Asparagus,2.49,11.9,29.63
Green beans,2.52,5.8,14.62
Bananas,0.86,33.5,28.81
Asparagus,2.49,35.7,88.89
Grapes,2.63,16.7,43.92
Lettuce,1.88,34,63.92
Ginger,5.13,39.7,203.66
Beets,1.51,24.4,36.84
Green beans,2.52,16.3,41.08
Parsnips,2.27,5.1,11.58
Eggplant,2.32,4.2,9.74
Lemon,1.27,2,2.54
Brussels sprouts,1.65,19.6,32.34
Eggplant,2.32,18.4,42.69
Strawberries,4.4,25.9,113.96
Lemon,1.27,19.8,25.15
Green cabbage,0.8,39.2,31.36
Grapefruit,0.76,21.6,16.42
Green cabbage,0.8,20,16
Tomatoes,3.16,6.9,21.8
Strawberries,4.4,4.7,20.68
Green peppers,1.89,4.2,7.94
Green peppers,1.89,10.2,19.28
Lemon,1.27,35.7,45.34
Watermelon,0.66,6.5,4.29
Red onion,0.78,29.4,22.93
Lemon,1.27,0.7,0.89
Strawberries,4.4,7.5,33
Cherries,9.5,21.9,208.05
Daikon,1.4,17.4,24.36
Apricots,3.71,19.4,71.97
Red onion,0.78,4.2,3.28
Orange,1.09,16,17.44
Bananas,0.86,8,6.88
Kale,5.02,33.5,168.17
Papaya,1.34,8.9,11.93
Apricots,3.71,12.1,44.89
Avocados,3.23,12.8,41.34
Carrots,1.26,17.5,22.05
Green cabbage,0.8,27.7,22.16
Potatoes,0.86,37.3,32.08
Strawberries,4.4,33.2,146.08
Okra,2.26,14.7,33.22
Beets,1.51,30.4,45.9
Papaya,1.34,9.6,12.86
Lemon,1.27,10,12.7
Orange,1.09,18.6,20.27
Tomatoes,3.16,20.5,64.78
Watermelon,0.66,1.2,0.79
Ginger,5.13,8.3,42.58
Yellow peppers,2.87,33.5,96.15
Grapefruit,0.76,20.2,15.35
Grapes,2.63,19.5,51.29
Brussels sprouts,1.65,20.5,33.83
Potatoes,0.86,25.3,21.76
Potatoes,0.86,8.9,7.65
Yellow peppers,2.87,6.8,19.52
Tomatoes,3.16,22.1,69.84
Celery,1.19,30.4,36.18
Okra,2.26,22.1,49.95
Butternut squash,1.28,32,40.96
Tomatoes,3.16,30,94.8
Yellow peppers,2.87,25.2,72.32
Red onion,0.78,27.9,21.76
Coconuts,1.18,3.5,4.13
Green beans,2.52,34.1,85.93
Okra,2.26,1.8,4.07
Bok choy,1.42,27.8,39.48
Coconuts,1.18,6,7.08
Red onion,0.78,26.2,20.44
Apricots,3.71,22,81.62
Corn,1.07,20.4,21.83
Coconuts,1.18,18.7,22.07
Lettuce,1.88,21.2,39.86
Eggplant,2.32,28.1,65.19
Lettuce,1.88,12,22.56
Garlic,3.07,2.7,8.29
Green peppers,1.89,38.2,72.2
Cherries,9.5,29.3,278.35
Butternut squash,1.28,22,28.16
Green cabbage,0.8,32.7,26.16
Daikon,1.4,33.1,46.34
Tomatoes,3.16,17.7,55.93
Green cabbage,0.8,38.6,30.88
Potatoes,0.86,28.2,24.25
Lemon,1.27,3.9,4.95
Kale,5.02,25.8,129.52
Red onion,0.78,30.5,23.79
Avocados,3.23,24.6,79.46
Watermelon,0.66,32.9,21.71
Parsnips,2.27,31.9,72.41
Ginger,5.13,23.5,120.56
Tomatoes,3.16,21.2,66.99
Brussels sprouts,1.65,12.6,20.79
Strawberries,4.4,17.5,77
Grapefruit,0.76,33.1,25.16
Watermelon,0.66,27.9,18.41
Potatoes,0.86,24.2,20.81
Cucumber,1.07,13.1,14.02
Kale,5.02,37.3,187.25
Papaya,1.34,19.9,26.67
Spinach,4.12,26.7,110
Green cabbage,0.8,4.3,3.44
Ginger,5.13,38.2,195.97
Butternut squash,1.28,0.7,0.9
Orange,1.09,39.8,43.38
Okra,2.26,36.6,82.72
Bananas,0.86,3.6,3.1
Fava beans,2.69,32.7,87.96
Carrots,1.26,35,44.1
Papaya,1.34,31.5,42.21
Cherries,9.5,25,237.5
Daikon,1.4,13.8,19.32
Strawberries,4.4,3.9,17.16
Butternut squash,1.28,27,34.56
Beets,1.51,23.2,35.03
Ginger,5.13,34.3,175.96
Lemon,1.27,26.6,33.78
Lime,1.06,9.7,10.28
Corn,1.07,9.7,10.38
Cucumber,1.07,1.6,1.71
Strawberries,4.4,12.4,54.56
Tomatoes,3.16,30.1,95.12
Tomatoes,3.16,17.3,54.67
Beets,1.51,18.5,27.94
Garlic,3.07,25.7,78.9
Asparagus,2.49,8.2,20.42
Daikon,1.4,7.8,10.92
Celery,1.19,2.3,2.74
Daikon,1.4,11.6,16.24
Grapefruit,0.76,9.1,6.92
Papaya,1.34,29.4,39.4
Yellow peppers,2.87,18.9,54.24
Daikon,1.4,13.2,18.48
Grapes,2.63,29.7,78.11
Papaya,1.34,6.8,9.11
Garlic,3.07,39.6,121.57
Papaya,1.34,24.2,32.43
Asparagus,2.49,18.7,46.56
Celery,1.19,14.8,17.61
Papaya,1.34,18.2,24.39
Orange,1.09,31.6,34.44
Potatoes,0.86,5.8,4.99
Ginger,5.13,13.1,67.2
Parsnips,2.27,14.2,32.23
Green peppers,1.89,32.9,62.18
Potatoes,0.86,23.9,20.55
Bananas,0.86,39.5,33.97
Apples,1.88,24.8,46.62
Green cabbage,0.8,16.9,13.52
Eggplant,2.32,18.5,42.92
Strawberries,4.4,5.5,24.2
Cherries,9.5,11.2,106.4
Celery,1.19,27,32.13
Cherries,9.5,13.4,127.3
Red onion,0.78,19.8,15.44
Strawberries,4.4,15.8,69.52
Green cabbage,0.8,18.3,14.64
Bok choy,1.42,7.9,11.22
Apples,1.88,39.3,73.88
Grapes,2.63,6.2,16.31
Avocados,3.23,31.9,103.04
Eggplant,2.32,34.9,80.97
Bananas,0.86,10.7,9.2
Coconuts,1.18,10.4,12.27
Fava beans,2.69,34.8,93.61
Strawberries,4.4,22.9,100.76
Lemon,1.27,14.2,18.03
Bananas,0.86,12.5,10.75
Coconuts,1.18,23.6,27.85
Red onion,0.78,9,7.02
Lemon,1.27,7.4,9.4
Coconuts,1.18,35.7,42.13
Ginger,5.13,39,200.07
Carrots,1.26,22.7,28.6
Celery,1.19,29.8,35.46
Asparagus,2.49,29.4,73.21
Lettuce,1.88,24.7,46.44
Kale,5.02,32.3,162.15
Okra,2.26,12.4,28.02
Potatoes,0.86,32.5,27.95
Avocados,3.23,35.2,113.7
Bananas,0.86,0.9,0.77
Cucumber,1.07,5.4,5.78
Lemon,1.27,38.8,49.28
Strawberries,4.4,11.6,51.04
Potatoes,0.86,3.3,2.84
Bananas,0.86,31.1,26.75
Grapes,2.63,2.2,5.79
Orange,1.09,0.6,0.65
Green peppers,1.89,20.7,39.12
Garlic,3.07,37.9,116.35
Asparagus,2.49,21.1,52.54
Spinach,4.12,5.5,22.66
Green cabbage,0.8,0.7,0.56
Lettuce,1.88,30.4,57.15
Carrots,1.26,32.6,41.08
Beets,1.51,3.4,5.13
Brussels sprouts,1.65,38.9,64.19
Orange,1.09,30,32.7
Orange,1.09,28.9,31.5
Ginger,5.13,7.2,36.94
Beets,1.51,4.4,6.64
Grapefruit,0.76,18.3,13.91
Fava beans,2.69,13,34.97
Strawberries,4.4,6.9,30.36
Lettuce,1.88,7,13.16
Potatoes,0.86,28.3,24.34
Kale,5.02,36.7,184.23
Eggplant,2.32,1.7,3.94
Avocados,3.23,37.1,119.83
Bananas,0.86,9.4,8.08
Asparagus,2.49,35.6,88.64
Bok choy,1.42,29.5,41.89
Beets,1.51,16.8,25.37
Orange,1.09,24.4,26.6
Cucumber,1.07,38,40.66
Coconuts,1.18,23.6,27.85
Lemon,1.27,18.8,23.88
Asparagus,2.49,19.1,47.56
Butternut squash,1.28,15.8,20.22
Ginger,5.13,3.3,16.93
Green peppers,1.89,24.1,45.55
Lemon,1.27,36.5,46.36
Okra,2.26,32.5,73.45
Butternut squash,1.28,5.8,7.42
Lemon,1.27,24.2,30.73
Beets,1.51,3.3,4.98
Kale,5.02,37.6,188.75
Brussels sprouts,1.65,38.9,64.19
Asparagus,2.49,4.1,10.21
Cucumber,1.07,31,33.17
Potatoes,0.86,16.1,13.85
Beets,1.51,11.7,17.67
Corn,1.07,4,4.28
Kale,5.02,31,155.62
Daikon,1.4,5.2,7.28
Celery,1.19,38.6,45.93
Beets,1.51,23,34.73
Spinach,4.12,39,160.68
Fava beans,2.69,9.5,25.56
Kale,5.02,8.8,44.18
Orange,1.09,35.7,38.91
Yellow peppers,2.87,4.3,12.34
Daikon,1.4,28.5,39.9
Papaya,1.34,30,40.2
Avocados,3.23,2.1,6.78
Butternut squash,1.28,25.5,32.64
Eggplant,2.32,29.9,69.37
Apples,1.88,26.4,49.63
Daikon,1.4,8.8,12.32
Brussels sprouts,1.65,29,47.85
Green peppers,1.89,29.8,56.32
Butternut squash,1.28,16.7,21.38
Bananas,0.86,31.9,27.43
Okra,2.26,9.2,20.79
Spinach,4.12,5.3,21.84
Grapes,2.63,34,89.42
Eggplant,2.32,4.5,10.44
Kale,5.02,32.5,163.15
Bok choy,1.42,1.1,1.56
Orange,1.09,9.7,10.57
Strawberries,4.4,4,17.6
Celery,1.19,30,35.7
Kale,5.02,25.3,127.01
Strawberries,4.4,22.4,98.56
Spinach,4.12,4.4,18.13
Okra,2.26,23,51.98
Cherries,9.5,39.3,373.35
Green cabbage,0.8,21.8,17.44
Eggplant,2.32,10,23.2
Green beans,2.52,25,63
Avocados,3.23,32.6,105.3
Bananas,0.86,17,14.62
Celery,1.19,28.3,33.68
Coconuts,1.18,18.7,22.07
Papaya,1.34,25.2,33.77
Bok choy,1.42,13,18.46
Brussels sprouts,1.65,34.8,57.42
Papaya,1.34,38.8,51.99
Coconuts,1.18,1.9,2.24
Garlic,3.07,26.2,80.43
Avocados,3.23,24.6,79.46
Green cabbage,0.8,4.4,3.52
Watermelon,0.66,17.1,11.29
Watermelon,0.66,26.9,17.75
Corn,1.07,31.2,33.38
Bananas,0.86,4.4,3.78
Cucumber,1.07,24.4,26.11
Eggplant,2.32,21.9,50.81
Kale,5.02,29.5,148.09
Asparagus,2.49,31.6,78.68
Garlic,3.07,23.5,72.15
Orange,1.09,28.6,31.17
Green beans,2.52,22.8,57.46
Corn,1.07,25.6,27.39
Okra,2.26,38.7,87.46
Grapes,2.63,4.9,12.89
Bok choy,1.42,39.3,55.81
Bananas,0.86,16.2,13.93
Asparagus,2.49,21,52.29
Green beans,2.52,19.8,49.9
Parsnips,2.27,2.4,5.45
Kale,5.02,32.7,164.15
Fava beans,2.69,12.2,32.82
Strawberries,4.4,14.7,64.68
Strawberries,4.4,12,52.8
Fava beans,2.69,15.2,40.89
Spinach,4.12,6,24.72
Apples,1.88,8.5,15.98
Red onion,0.78,6.8,5.3
Beets,1.51,35.2,53.15
Watermelon,0.66,3.6,2.38
Coconuts,1.18,11.9,14.04
Cherries,9.5,26.4,250.8
Tomatoes,3.16,4.5,14.22
Daikon,1.4,16.6,23.24
Bok choy,1.42,17.2,24.42
Yellow peppers,2.87,15.3,43.91
Red onion,0.78,3.7,2.89
Orange,1.09,24.3,26.49
Lettuce,1.88,11,20.68
Butternut squash,1.28,33,42.24
Bok choy,1.42,39.8,56.52
Strawberries,4.4,37.1,163.24
Potatoes,0.86,26.5,22.79
Lime,1.06,15.7,16.64
Orange,1.09,11.7,12.75
Corn,1.07,32.8,35.1
Green cabbage,0.8,34.2,27.36
Lime,1.06,14.4,15.26
Potatoes,0.86,12.6,10.84
Kale,5.02,23.3,116.97
Spinach,4.12,16.8,69.22
Strawberries,4.4,0.6,2.64
Yellow peppers,2.87,35.9,103.03
Tomatoes,3.16,16.2,51.19
Beets,1.51,38.1,57.53
Watermelon,0.66,32.6,21.52
Butternut squash,1.28,25.3,32.38
Okra,2.26,18.5,41.81
Potatoes,0.86,3.6,3.1
Green beans,2.52,13.2,33.26
Green beans,2.52,39.3,99.04
Grapefruit,0.76,20.3,15.43
Brussels sprouts,1.65,4.5,7.43
Parsnips,2.27,5.7,12.94
Yellow peppers,2.87,39.9,114.51
Bananas,0.86,23.1,19.87
Yellow peppers,2.87,3.3,9.47
Ginger,5.13,27.4,140.56
Fava beans,2.69,26.7,71.82
Lettuce,1.88,36.5,68.62
Lettuce,1.88,34.9,65.61
Fava beans,2.69,4.6,12.37
Ginger,5.13,1.2,6.16
Fava beans,2.69,24.2,65.1
Lime,1.06,21.2,22.47
Avocados,3.23,17.5,56.53
Lemon,1.27,2.5,3.18
Parsnips,2.27,9.6,21.79
Okra,2.26,29.2,65.99
Apples,1.88,6.9,12.97
Beets,1.51,0.9,1.36
Garlic,3.07,36.1,110.83
Beets,1.51,13.2,19.93
Kale,5.02,32,160.64
Carrots,1.26,31.9,40.19
Orange,1.09,15.4,16.79
Strawberries,4.4,2.3,10.12
Cherries,9.5,8.8,83.6
Corn,1.07,19.9,21.29
Green peppers,1.89,4.9,9.26
Green beans,2.52,12.9,32.51
Avocados,3.23,34.8,112.4
Tomatoes,3.16,5.2,16.43
Apricots,3.71,15.3,56.76
Orange,1.09,10.5,11.45
Apples,1.88,19.7,37.04
Green beans,2.52,7.1,17.89
Cherries,9.5,0.8,7.6
Strawberries,4.4,17.9,78.76
Grapefruit,0.76,20.1,15.28
Asparagus,2.49,31,77.19
Green beans,2.52,24,60.48
Green beans,2.52,27.9,70.31
Bananas,0.86,25.4,21.84
Parsnips,2.27,22.9,51.98
Celery,1.19,10.6,12.61
Grapes,2.63,27.7,72.85
Apricots,3.71,13,48.23
Avocados,3.23,2.4,7.75
Avocados,3.23,28.3,91.41
Corn,1.07,21.2,22.68
Bok choy,1.42,23.7,33.65
Tomatoes,3.16,5.2,16.43
Grapefruit,0.76,20.8,15.81
